волна	длит_игр	длит_реал	врагов	путь_гексов	путь_макс%	путь_ср%	руда_трат	руда_сек	руда_доб	майнер_гексов	руда_центр	руда_серед	руда_конец	до_0	до_1	до_2	до_3	до_4	до_5	0->1	1->2	2->3	3->4	4->5	hp_игрока	lvl_игрока	xp_всего	пропущено_врагов	руда_всего
1	33.3	9.5	5	141	45	34	0	0.1	0	1	0	0	0	100	60	60	0	0	0	11.7	5.6	0.0	0.0	0.0	100	1	50	0	0
2	52.5	13.1	7	146	71	46	2	0.1	0	2	2	0	0	100	86	86	14	14	0	11.7	5.6	11.7	5.6	0.0	100	1	120	0	2
3	24.3	6.1	9	153	24	22	2	0.3	1	3	2	0	0	89	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	1	210	0	4
4	58.8	14.7	9	166	77	64	9	0.6	2	4	9	0	0	100	89	89	67	67	0	10.0	4.8	10.0	6.4	0.0	100	1	300	0	12
5	18.7	4.7	10	168	15	13	3	0.7	2	5	3	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	1	400	0	16
6	29.5	7.4	12	172	26	15	6	0.8	3	5	6	0	0	25	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	1	520	0	22
7	29.6	7.4	11	175	27	23	15	2.1	3	5	10	0	5	82	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	2	630	0	37
8	13.5	3.4	15	181	12	10	15	4.6	3	5	5	0	10	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	2	780	0	52
9	34.8	8.7	30	183	25	19	19	2.2	3	5	14	0	5	53	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	2	1080	0	71
10	74.7	20.6	1	184	64	64	13	0.6	3	5	13	0	0	100	100	100	100	0	0	15.7	12.9	17.2	0.0	0.0	100	2	1090	0	84
11	41.9	10.5	16	187	49	39	21	2.0	3	6	21	0	0	94	75	50	0	0	0	8.5	8.1	0.0	0.0	0.0	100	2	1250	0	105
12	49.0	12.2	13	187	49	32	22	1.8	4	7	19	3	0	85	62	15	0	0	0	11.7	10.7	0.0	0.0	0.0	100	2	1380	0	127
13	19.3	4.8	15	187	24	13	7	1.4	5	8	5	2	0	20	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	2	1530	0	134
14	50.2	12.5	22	189	63	39	22	1.7	8	9	15	7	0	59	59	36	14	0	0	9.1	9.3	10.8	0.0	0.0	100	2	1750	0	156
15	19.1	4.8	12	133	18	16	6	1.2	8	10	3	3	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	2	1870	0	162
16	19.1	4.8	16	205	20	13	12	2.5	7	10	4	3	5	38	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	3	2030	0	173
17	15.9	4.0	14	133	15	14	6	1.6	6	10	3	3	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	3	2170	0	180
18	26.9	6.7	12	247	19	11	13	1.9	9	10	7	6	0	17	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	3	2290	0	192
19	47.0	11.7	28	253	30	19	35	3.0	11	10	10	20	5	68	18	0	0	0	0	12.3	0.0	0.0	0.0	0.0	100	3	2570	0	227
20	88.1	24.4	1	258	50	50	34	1.4	20	10	4	25	5	100	100	100	0	0	0	22.2	29.9	0.0	0.0	0.0	100	3	2580	0	261
