[Сводка волн для графика]
волна	длит_игр	длит_реал	врагов	путь_гексов	путь_макс%	путь_ср%	руда_трат	руда_сек	руда_доб	майнер_гексов	руда_центр	руда_серед	руда_конец	до_0	до_1	до_2	до_3	до_4	до_5	0->1	1->2	2->3	3->4	4->5	hp_игрока	lvl_игрока	xp_всего	пропущено_врагов	руда_всего
1	37.4	10.0	5	141	48	47	1	0.1	0	1	1	0	0	100	100	100	0	0	0	12.3	5.9	0.0	0.0	0.0	100	1	50	0	1
2	23.5	5.9	9	146	22	21	2	0.4	0	2	2	0	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	1	140	0	8
3	28.5	7.1	11	153	25	24	4	0.6	1	3	4	0	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	1	250	0	12
4	44.1	11.0	10	166	46	31	10	0.9	2	4	10	0	0	80	30	30	0	0	0	11.8	5.4	0.0	0.0	0.0	100	1	350	0	22
5	47.7	11.9	12	167	47	26	9	0.8	4	5	8	1	0	75	8	8	0	0	0	13.5	5.9	0.0	0.0	0.0	100	1	470	0	31
6	34.0	8.5	15	167	29	17	11	1.2	5	5	8	3	0	40	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	2	620	0	47
7	82.9	20.7	14	167	89	60	32	1.5	5	5	22	10	0	100	71	71	50	50	21	13.1	6.0	13.1	6.0	14.2	100	2	760	0	84
8	27.1	6.8	19	170	51	26	18	2.7	5	5	9	4	5	74	11	11	0	0	0	6.9	3.2	0.0	0.0	0.0	100	2	950	0	102
9	88.1	69.6	39	189	84	52	23	0.3	5	5	16	7	0	87	74	74	49	49	3	12.7	7.8	13.7	5.9	16.7	100	2	1340	0	125
10	107.3	47.1	1	194	85	85	26	0.6	9	5	21	5	0	100	100	100	100	100	100	19.3	13.2	18.1	6.9	21.9	100	2	1350	0	151
11	52.1	13.0	20	199	48	39	27	2.1	11	6	15	8	5	95	85	40	0	0	0	12.4	8.8	0.0	0.0	0.0	100	2	1550	0	178
12	98.7	24.6	16	199	85	65	32	1.3	14	7	8	24	0	100	100	100	63	63	13	15.3	10.9	15.0	6.1	17.2	100	2	1710	0	213
13	57.4	14.4	19	204	87	50	20	1.4	16	8	2	17	0	100	84	68	26	26	5	8.4	5.7	8.6	4.2	9.5	100	2	1900	0	232
14	91.7	22.9	28	204	100	78	32	1.4	19	9	2	30	0	96	89	82	82	82	54	13.5	0.0	13.3	5.7	13.5	77	2	2120	6	264
15	65.8	16.4	15	133	100	90	22	1.3	22	10	4	18	0	100	100	100	93	93	80	10.7	5.0	10.7	4.9	10.0	8	2	2170	16	286
16	40.1	10.0	9	214	43	33	11	1.1	22	10	3	8	0	100	56	22	0	0	0	11.6	7.3	0.0	0.0	0.0	8	2	2260	16	298
17	70.2	17.5	9	133	86	64	25	1.4	23	10	10	10	5	100	100	100	67	67	22	11.9	5.4	14.6	5.5	16.3	8	2	2350	16	323
18	74.5	18.6	8	247	55	33	18	1.0	24	10	7	11	0	88	63	50	25	0	0	15.7	11.4	15.7	0.0	0.0	8	3	2430	16	344
19	123.7	30.9	19	275	80	58	37	1.2	24	10	14	23	0	100	100	79	74	37	0	16.3	17.4	21.8	24.7	0.0	8	3	2620	16	381
