волна	длит_игр	длит_реал	врагов	путь_гексов	путь_макс%	путь_ср%	руда_трат	руда_сек	руда_доб	майнер_гексов	руда_центр	руда_серед	руда_конец	до_0	до_1	до_2	до_3	до_4	до_5	0->1	1->2	2->3	3->4	4->5	hp_игрока	lvl_игрока	xp_всего	пропущено_врагов	руда_всего
1	33.8	10.3	5	129	53	41	0	0.0	0	1	0	0	0	100	60	60	0	0	0	11.6	5.3	0.0	0.0	0.0	100	1	50	0	0
2	55.8	15.8	7	133	87	71	1	0.1	0	1	1	0	0	100	100	100	57	57	0	11.6	5.3	11.2	5.3	0.0	100	1	120	0	1
3	23.6	5.9	9	136	28	26	0	0.1	1	2	0	0	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	1	210	0	2
4	67.1	16.8	9	145	100	54	18	1.1	2	3	18	0	0	100	44	44	33	33	11	10.9	4.9	13.2	4.8	10.1	88	1	290	1	20
5	48.2	12.0	11	149	60	31	11	0.9	3	4	11	0	0	82	9	9	0	0	0	12.2	5.3	0.0	0.0	0.0	88	1	400	1	30
6	78.6	19.6	14	155	100	75	15	0.8	4	4	15	0	0	100	79	79	71	71	14	13.8	5.3	12.6	5.4	13.0	73	1	520	3	45
7	33.2	8.3	12	158	34	28	17	2.1	5	4	12	0	5	75	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	2	640	3	63
8	19.4	4.8	18	162	31	17	8	1.7	5	4	8	0	0	11	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	2	820	3	71
9	38.7	9.7	36	193	27	20	16	1.7	5	4	16	0	0	50	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	2	1180	3	87
10	73.2	19.8	1	193	59	59	16	0.8	5	4	16	0	0	100	100	100	0	0	0	20.2	18.7	0.0	0.0	0.0	73	2	1190	3	104
11	54.4	13.6	20	199	60	43	33	2.4	5	5	33	0	0	100	80	15	0	0	0	12.1	13.3	0.0	0.0	0.0	73	2	1390	3	137
12	64.5	16.1	18	211	62	44	30	1.9	6	6	19	11	0	100	78	6	0	0	0	17.6	18.1	0.0	0.0	0.0	73	2	1570	3	167
13	23.8	5.9	21	229	24	19	17	2.8	8	7	5	7	5	62	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	2	1780	3	186
14	72.4	18.1	33	262	66	54	35	1.9	10	8	5	24	5	97	94	33	0	0	0	18.1	20.3	0.0	0.0	0.0	73	3	2110	3	221
15	37.9	9.5	19	124	53	31	9	0.9	11	9	5	4	0	100	21	21	0	0	0	11.1	4.4	0.0	0.0	0.0	73	3	2300	3	230
16	25.9	6.5	25	286	21	12	10	1.5	11	9	6	4	0	4	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	3	2550	3	239
17	42.2	10.5	23	124	53	36	10	1.0	11	9	5	5	0	100	39	39	0	0	0	12.4	4.9	0.0	0.0	0.0	73	3	2780	3	249
18	27.7	6.9	20	306	10	10	9	1.3	11	9	5	4	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	3	2980	3	258
19	51.0	12.7	50	306	22	20	18	1.4	13	9	5	12	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	73	3	3480	3	276
20	161.9	53.7	1	332	100	100	25	0.5	14	9	5	20	0	100	100	100	100	100	100	33.2	31.8	27.7	24.8	12.9	26	3	3480	4	301
21	82.0	41.7	16	346	22	16	28	0.7	18	10	5	22	0	56	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	26	4	3640	4	332
22	81.7	20.4	15	360	51	42	22	1.1	18	11	5	17	0	87	80	47	0	0	0	22.3	21.9	0.0	0.0	0.0	26	4	3790	4	355
23	129.2	32.3	19	376	100	86	33	1.0	20	12	5	28	0	100	95	89	89	74	74	21.5	19.8	14.9	24.4	16.8	-48	4	3840	18	391
24	86.2	21.5	11	439	76	44	32	1.5	23	13	5	26	0	91	82	64	64	9	0	16.0	12.7	9.9	17.2	0.0	-48	4	3950	18	423
25	34.2	8.5	12	124	56	54	7	0.8	23	14	3	4	0	100	100	100	0	0	0	9.4	4.7	0.0	0.0	0.0	-48	4	4070	18	430
26	97.2	24.3	14	492	38	33	20	0.8	25	14	8	12	0	100	86	57	0	0	0	29.7	26.3	0.0	0.0	0.0	-48	4	4210	18	453
27	135.5	33.8	18	541	53	38	37	1.1	27	14	5	32	0	100	94	83	22	0	0	28.3	25.4	30.7	0.0	0.0	-48	4	4390	18	492
28	39.0	24.0	28	124	55	47	24	1.0	26	14	5	19	0	100	75	75	0	0	0	10.0	4.8	0.0	0.0	0.0	-48	4	4670	18	516
29	60.4	33.9	24	656	16	10	18	0.5	26	14	6	7	5	13	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-48	4	4910	18	534
30	84.3	21.1	1	124	80	80	14	0.7	25	14	6	8	0	100	100	100	100	100	0	27.4	5.2	31.8	5.6	0.0	-48	4	4920	18	551
31	268.1	67.0	10	723	100	25	31	0.5	25	15	6	26	0	40	40	20	10	10	10	45.0	32.6	27.9	29.5	30.6	-55	4	5010	19	583
32	197.5	49.3	10	723	73	33	29	0.6	28	16	6	23	0	80	60	40	30	10	0	39.2	35.3	28.7	35.5	0.0	-55	4	5110	19	612
33	165.5	41.3	12	725	42	18	36	0.9	38	17	6	27	4	92	67	58	0	0	0	30.0	16.9	0.0	0.0	0.0	-55	4	5230	19	648
34	125.9	31.4	20	738	32	20	27	0.9	32	18	6	16	5	80	30	0	0	0	0	44.3	0.0	0.0	0.0	0.0	-55	4	5430	19	674
35	33.8	8.4	16	752	9	7	6	0.8	28	19	2	3	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-55	4	5590	19	681
36	78.2	19.5	13	764	20	17	28	1.4	30	19	8	8	12	92	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-55	5	5720	19	709
37	48.1	12.0	66	769	7	7	20	1.7	28	19	7	6	7	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-55	5	6380	19	728
38	57.5	14.3	24	792	8	8	13	0.9	17	19	6	5	2	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-55	5	6620	19	741
39	70.3	17.5	13	833	17	11	15	0.9	17	19	7	7	2	31	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-55	5	6750	19	756
40	284.1	91.0	3	882	100	86	57	0.6	46	19	6	35	16	100	100	100	100	67	67	55.9	34.7	25.3	28.4	28.2	-63	5	6760	21	813
