run_index,seed,wave_number,enemy_def_id,spawned,killed,passed,total_hp,duration_sec,success,game_over,success_lvl_before,success_lvl_after,player_hp_before,player_hp_after,ore_spent,enemy_abilities,enemy_base_speed,enemy_base_hp,enemy_regen_base,enemy_flying,source_wave
0,1416710971,22,ENEMY_MAGIC_RESIST_2,24,24,0,50736,111.867,1,0,10,11,100,100,70.2,,80,201,23.00,0,29
1,1416710972,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.1,reactive_armor,120,223,14.00,0,23
2,1416710973,22,ENEMY_FLYING,14,1,13,148596,58.050,0,0,10,6,100,33,25.2,untouchable,93,78,15.00,1,25
3,1416710974,22,ENEMY_FAST,14,10,4,72380,145.417,0,0,10,9,100,83,132.7,kraken_shell,evasion,160,91,22.00,0,24
4,1416710975,22,ENEMY_MAGIC_RESIST_2,24,24,0,50736,79.883,1,0,10,11,100,100,53.3,,80,201,23.00,0,29
5,1416710976,22,ENEMY_FLYING,14,1,13,148596,58.050,0,0,10,6,100,33,25.2,untouchable,93,78,15.00,1,25
6,1416710977,22,ENEMY_MAGIC_RESIST,13,13,0,53887,134.683,1,0,10,11,100,100,106.0,reflection,80,201,12.00,0,21
7,1416710978,22,ENEMY_MAGIC_RESIST,13,13,0,53887,125.117,1,0,10,11,100,100,81.1,reflection,80,201,12.00,0,21
8,1416710979,22,ENEMY_PHYSICAL_RESIST_2,12,12,0,80964,56.417,1,0,10,11,100,100,24.9,blink,80,216,11.00,0,22
9,1416710980,22,ENEMY_FLYING,14,2,12,148596,58.233,0,0,10,6,100,38,24.2,untouchable,93,78,15.00,1,25
10,1416710981,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.1,reactive_armor,120,223,14.00,0,23
11,1416710982,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.1,reactive_armor,120,223,14.00,0,23
12,1416710983,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.2,reactive_armor,120,223,14.00,0,23
13,1416710984,22,ENEMY_MAGIC_RESIST,13,13,0,53887,145.400,1,0,10,11,100,100,104.6,reflection,80,201,12.00,0,21
14,1416710985,22,ENEMY_FLYING,14,1,13,148596,58.050,0,0,10,6,100,33,25.2,untouchable,93,78,15.00,1,25
15,1416710986,22,ENEMY_MAGIC_RESIST_2,24,24,0,50736,111.667,1,0,10,11,100,100,66.9,,80,201,23.00,0,29
16,1416710987,22,ENEMY_NORMAL_2,20,20,0,30910,20.817,1,0,10,11,100,100,15.9,ivasion,80,107,11.00,0,27
17,1416710988,22,ENEMY_FLYING_TOUGH,28,6,22,65464,62.383,0,0,10,6,100,41,34.5,untouchable,evasion,84,155,11.00,1,28
18,1416710989,22,ENEMY_NORMAL_2,20,20,0,30910,20.817,1,0,10,11,100,100,15.9,ivasion,80,107,11.00,0,27
19,1416710990,22,ENEMY_FLYING,14,1,13,148596,58.050,0,0,10,6,100,33,25.2,untouchable,93,78,15.00,1,25
20,1416710991,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.1,reactive_armor,120,223,14.00,0,23
21,1416710992,22,ENEMY_FLYING_TOUGH,28,9,19,65464,60.333,0,0,10,6,100,53,35.3,untouchable,evasion,84,155,11.00,1,28
22,1416710993,22,ENEMY_MAGIC_RESIST,13,13,0,53887,116.817,1,0,10,11,100,100,89.9,reflection,80,201,12.00,0,21
23,1416710994,22,ENEMY_TOUGH,16,16,0,24448,125.067,1,0,10,11,100,100,97.8,reflection,bkb,75,208,23.00,0,26
24,1416710995,22,ENEMY_FAST,14,5,9,72380,145.483,0,0,10,7,100,62,147.3,kraken_shell,evasion,160,91,22.00,0,24
25,1416710996,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.1,reactive_armor,120,223,14.00,0,23
26,1416710997,22,ENEMY_NORMAL_2,20,20,0,30910,20.867,1,0,10,11,100,100,15.7,ivasion,80,107,11.00,0,27
27,1416710998,22,ENEMY_FAST,14,5,9,72380,151.650,0,0,10,8,100,62,145.9,kraken_shell,evasion,160,91,22.00,0,24
28,1416710999,22,ENEMY_DARKNESS_2,14,14,0,33992,87.750,1,0,10,11,100,100,71.2,reactive_armor,120,223,14.00,0,23
