run_index,seed,wave_number,enemy_def_id,spawned,killed,passed,total_hp,duration_sec,success,game_over,success_lvl_before,success_lvl_after,player_hp_before,player_hp_after,ore_spent,enemy_abilities,enemy_base_speed,enemy_base_hp,enemy_regen_base,enemy_flying,source_wave
0,2895316556,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
1,2895316557,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
2,2895316558,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
3,2895316559,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
4,2895316560,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
5,2895316561,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
6,2895316562,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
7,2895316563,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
8,2895316564,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
9,2895316565,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
10,2895316566,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
11,2895316567,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
12,2895316568,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
13,2895316569,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
14,2895316570,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
15,2895316571,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
16,2895316572,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
17,2895316573,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
18,2895316574,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
19,2895316575,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
20,2895316576,5,ENEMY_NORMAL,11,11,0,1177,80.500,1,0,10,10,100,100,10.9,,80,107,0.00,0,5
21,2895316577,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
22,2895316578,5,ENEMY_NORMAL,11,11,0,1177,82.583,1,0,10,10,100,100,11.6,,80,107,0.00,0,5
